ts,usd_per_btc,price_equalized,residual_log10,sigma_roll,k_equalizer
2020-03-30,5925.54,1809.8050084422975,-0.2575480742026568,0.07925355239800008,3.0
2020-03-31,6430.61,2306.4600203166233,-0.22265312024654316,0.08011677043786171,3.0
2020-04-01,6437.32,2306.9939288952382,-0.22282932343511197,0.0809622910958599,3.0
2020-04-02,6606.78,2486.810763898334,-0.2121735534621556,0.08165318627991325,3.0
2020-04-03,6797.4,2700.499095339183,-0.200449395525232,0.08219845663184455,3.0
2020-04-04,6738.38,2623.1595639762763,-0.20486539480379706,0.08276837257182286,3.0
2020-04-05,6862.54,2762.840693572997,-0.19756452240064704,0.08323943010375742,3.0
2020-04-06,6788.05,2666.119096389656,-0.2029327435184225,0.08375054729859181,3.0
2020-04-07,7273.64,3270.7204829543743,-0.1735541858180074,0.08399302583133722,3.0
2020-04-08,7179.28,3135.989355919049,-0.17985315584568884,0.08429098596267406,3.0
2020-04-09,7337.97,3338.903654442584,-0.17098602220658377,0.08452395560424904,3.0
2020-04-10,7303.82,3282.999137941981,-0.17363964646829588,0.08477117640872958,3.0
2020-04-11,6867.44,2721.1344591573297,-0.20102243583429757,0.08523731643780394,3.0
2020-04-12,6858.07,2702.192123416425,-0.2022428449481657,0.08570407972458978,3.0
2020-04-13,6965.62,2823.158262919661,-0.19611227677682752,0.08610467787888042,3.0
2020-04-14,6843.28,2669.2824490381067,-0.204434889531111,0.0865731891985143,3.0
2020-04-15,6845.56,2664.2474623656403,-0.20491721026166942,0.08702403921870919,3.0
2020-04-16,6640.45,2424.8588856377464,-0.21875552050928304,0.08755995842833393,3.0
2020-04-17,7116.55,2976.1106665164793,-0.18931021430504602,0.08787344821509191,3.0
2020-04-18,7092.29,2937.2908057992136,-0.19141976974396302,0.08819771856211374,3.0
2020-04-19,7260.92,3142.748859030974,-0.18184098719184005,0.08844588768336469,3.0
2020-04-20,7186.87,3038.7965565456525,-0.18691908178404182,0.08872469857007952,3.0
2020-04-21,6879.78,2657.992491403293,-0.2065104004627334,0.08913865328713859,3.0
2020-04-22,6879.44,2649.9489191547045,-0.20715779237966858,0.08955978485405405,3.0
2020-04-23,7121.31,2930.936179513391,-0.1927767648583525,0.08985644438478207,3.0
2020-04-24,7434.18,3324.8698770429273,-0.17472920946269843,0.09003123737212797,3.0
2020-04-25,7550.48,3473.347004848998,-0.16861319392175256,0.0901707857161253,3.0
2020-04-26,7570.14,3490.4834112875637,-0.1681091664764498,0.09030398711362486,3.0
2020-04-27,7679.42,3633.362789063558,-0.1625098282221229,0.09040752508781567,3.0
2020-04-28,7796.97,3791.849160444705,-0.15653740520641035,0.09047898139444706,3.0
2020-04-29,7806.71,3795.140567693711,-0.1566200901966135,0.09055561716752517,3.0
2020-04-30,8797.67,5415.983022599778,-0.10534518664359149,0.09056041086735125,3.0
2020-05-01,8672.78,5173.68697198272,-0.11217909060924391,0.09056085577579576,3.0
2020-05-02,8869.06,5517.077786898739,-0.1030842428515859,0.09055692519200517,3.0
2020-05-03,8983.61,5717.161617048743,-0.09813521027379668,0.09056890153267774,3.0
2020-05-04,8895.75,5535.1230559508995,-0.10302764440600276,0.09057212729206601,3.0
2020-05-05,8912.83,5551.093164108458,-0.10281855343252655,0.09057607800347164,3.0
2020-05-06,9007.44,5713.314833903135,-0.09885661062668616,0.0905522089470671,3.0
2020-05-07,9261.9,6193.511709242508,-0.08738156232328409,0.09047777429539859,3.0
2020-05-08,9936.16,7625.09760154146,-0.05748658460285272,0.09054238351768312,3.0
2020-05-09,9840.91,7386.670682578734,-0.06229326126851786,0.09062343710905779,3.0
2020-05-10,9591.17,6818.852618873128,-0.07408014248360972,0.09059992447665653,3.0
2020-05-11,8755.54,5172.484852758178,-0.11429185446010415,0.09052818525903854,3.0
2020-05-12,8610.39,4905.384652902343,-0.12217487744080158,0.09042565687397904,3.0
2020-05-13,8805.39,5231.242698716637,-0.1130718634498189,0.09033361311898362,3.0
2020-05-14,9271.33,6088.91597658248,-0.09130102918231309,0.0900702623351321,3.0
2020-05-15,9734.29,7027.191453233147,-0.07076124726670185,0.08988196629887843,3.0
2020-05-16,9333.24,6176.20393049297,-0.08965540311676179,0.08966262808615776,3.0
2020-05-17,9374.93,6241.430071258321,-0.08834196229912461,0.08937584966873603,3.0
2020-05-18,9675.7,6842.0016174144785,-0.07524961093160432,0.08913005672822137,3.0
2020-05-19,9727.06,6931.656842953957,-0.07357227013954226,0.08897967638121806,3.0
2020-05-20,9725.33,6908.152091849761,-0.07427122809032882,0.08884501316255156,3.0
