rel_day,dd_pct_2021,dd_pct_2025,dd_pct_2021_scaled,dd_pct_2025_scaled
-269,-29.69446361961773,-23.51099278862523,-17.144106564227844,-23.51099278862523
-268,-30.2521120365692,-21.985991221449307,-17.466065027867945,-21.985991221449307
-267,-27.910089351948553,-20.30243876228417,-16.113897600454003,-20.30243876228417
-266,-29.023461677789086,-16.78639721716868,-16.756703412486317,-16.78639721716868
-265,-27.153994545944148,-16.355267544386553,-15.677366060674483,-16.355267544386553
-264,-22.810986809273693,-17.393278699299753,-13.169929374815169,-17.393278699299753
-263,-23.499353735388716,-17.177540670960813,-13.567358204908912,-17.177540670960813
-262,-17.26489506323712,-21.356256850586377,-9.967891812290592,-21.356256850586377
-261,-16.99660383542613,-22.293301324082016,-9.8129937996927,-22.293301324082016
-260,-14.829060012527062,-18.933538054664112,-8.561561790061614,-18.933538054664112
-259,-19.755519378093734,-19.187834524471516,-11.405854430923284,-19.187834524471516
-258,-27.704981204217994,-17.654570434123784,-15.99547835614878,-17.654570434123784
-257,-26.411134433845994,-18.50572014986088,-15.248475574984377,-18.50572014986088
-256,-30.15448026217129,-17.81745534900374,-17.40969729663785,-17.81745534900374
-255,-31.39162806424245,-19.018326073633784,-18.12396491319099,-19.018326073633784
-254,-31.614796979943517,-18.905168368763338,-18.252811546745757,-18.905168368763338
-253,-33.146290888209315,-16.579318786223517,-19.137019966945285,-16.579318786223517
-252,-26.554687931395126,-17.98792691603942,-15.331356225437482,-17.98792691603942
-251,-28.325664662168148,-15.586489608736576,-16.353830117677848,-15.586489608736576
-250,-25.207251013438537,-15.582096447131931,-14.553413158139206,-15.582096447131931
-249,-28.161030399381314,-14.471006738602998,-16.258778481740034,-14.471006738602998
-248,-27.610028937199292,-17.67787108740381,-15.940657639225368,-17.67787108740381
-247,-27.58123533580371,-18.34121314454228,-15.92403364570869,-18.34121314454228
-246,-24.24230267093591,-14.529520271821806,-13.99629997284123,-14.529520271821806
-245,-22.615575221396146,-15.47671125894664,-13.057108441951295,-15.47671125894664
-244,-18.839039030948,-14.28989020306376,-10.876724255791695,-14.28989020306376
-243,-17.152622223656554,-14.355711591644138,-9.903071058136067,-14.355711591644138
-242,-14.40199686956557,-11.888740140942755,-8.31499676951183,-11.888740140942755
-241,-15.109401621590479,-10.421162264972184,-8.72341709351943,-10.421162264972184
-240,-9.368801326074871,-10.322645615987991,-5.40907996759345,-10.322645615987991
-239,-12.261040865744388,-15.45640133491284,-7.078915244382524,-15.45640133491284
-238,-17.333807255780286,-17.641145946066505,-10.007678285205836,-17.641145946066505
-237,-15.875563085152223,-17.411772219977774,-9.165760620749522,-17.411772219977774
-236,-12.815225168183497,-17.866194097652198,-7.3988737005764085,-17.866194097652198
-235,-14.358739849885405,-19.65634831283163,-8.290022317555145,-19.65634831283163
-234,-13.645457946315986,-20.00699864437171,-7.878208818521252,-20.00699864437171
-233,-13.678544681081616,-16.634765554706764,-7.897311453744795,-16.634765554706764
-232,-14.85104381616329,-16.10945325583121,-8.574254145008803,-16.10945325583121
-231,-19.301439102717353,-19.144722402032077,-11.143691061701032,-19.144722402032077
-230,-19.00709299652271,-20.44982088573234,-10.973750258054638,-20.44982088573234
-229,-21.943803476342538,-19.593272650254146,-12.669260844110608,-19.593272650254146
-228,-23.488946587943428,-20.984595378833315,-13.56134963552988,-20.984595378833315
-227,-18.374847686289787,-21.731390609684652,-10.608723257997779,-21.731390609684652
-226,-17.135212827645642,-21.07085341726299,-9.893019738662739,-21.07085341726299
-225,-17.175242595344198,-20.233457676703527,-9.9161309358191,-20.233457676703527
-224,-14.507237852764177,-18.15055837928834,-8.375757679491326,-18.15055837928834
-223,-12.760154629781638,-17.115411227805865,-7.367078710405678,-17.115411227805865
-222,-12.765661683621833,-17.008184291101703,-7.370258209422756,-17.008184291101703
-221,-12.510560737992583,-16.939718557170835,-7.22297560979318,-16.939718557170835
-220,-12.068619667317682,-13.616207319378958,-6.967820813673075,-13.616207319378958
-219,-14.722323834603035,-18.11471187027196,-8.499937629004906,-18.11471187027196
