series,date,rel_day,price,log_norm,rel_plot,log_plot
left,2021-05-16,-176.0,46523.31,-0.37232314649873344,-11.0,-0.1023888652871517
left,2021-05-17,-175.0,43768.74,-0.43335675986245203,-10.0,-0.11917310896217431
left,2021-05-18,-174.0,42989.8,-0.4513137455579448,-9.0,-0.12411128002843483
left,2021-05-19,-173.0,37236.61,-0.5949842066946273,-8.0,-0.1636206568410225
left,2021-05-20,-172.0,40749.78,-0.5048261829113132,-7.0,-0.13882720030061113
left,2021-05-21,-171.0,37425.0,-0.5899376935049132,-6.0,-0.16223286571385115
left,2021-05-22,-170.0,37383.34,-0.5910514731799235,-5.0,-0.16253915512447897
left,2021-05-23,-169.0,34927.4,-0.6590050023457084,-4.0,-0.18122637564506983
left,2021-05-24,-168.0,38725.06,-0.5557896881221722,-3.0,-0.15284216423359737
left,2021-05-25,-167.0,38370.0,-0.5650007195517442,-2.0,-0.15537519787672968
left,2021-05-26,-166.0,39213.41,-0.5432578436775248,-1.0,-0.14939590701131933
left,2021-05-27,-165.0,38368.17,-0.5650484141996711,0.0,-0.15538831390490956
left,2021-05-28,-164.0,35770.0,-0.6351670705396789,1.0,-0.17467094439841171
left,2021-05-29,-163.0,34621.64,-0.6677977037229516,2.0,-0.1836443685238117
left,2021-05-30,-162.0,35545.27,-0.6414695284529445,3.0,-0.17640412032455974
left,2021-05-31,-161.0,37153.71,-0.5972129922225573,4.0,-0.16423357286120327
left,2021-06-01,-160.0,36764.58,-0.6077417421362817,5.0,-0.16712897908747748
left,2021-06-02,-159.0,37501.36,-0.5878994248251932,6.0,-0.16167234182692813
left,2021-06-03,-158.0,39215.09,-0.5432150021084461,7.0,-0.1493841255798227
left,2021-06-04,-157.0,36895.48,-0.6041875734919636,8.0,-0.16615158271029
left,2021-06-05,-156.0,35565.0,-0.6409146156251269,9.0,-0.1762515192969099
left,2021-06-06,-155.0,35873.42,-0.632279992512536,10.0,-0.1738769979409474
left,2021-06-07,-154.0,33816.09,-0.6913398990876285,11.0,-0.19011847224909786
left,2021-06-08,-153.0,33432.26,-0.7027553217150928,12.0,-0.19325771347165055
left,2021-06-09,-152.0,37357.02,-0.5917557780852782,13.0,-0.16273283897345153
left,2021-06-10,-151.0,36717.51,-0.6090228708150648,14.0,-0.16748128947414284
left,2021-06-11,-150.0,37282.15,-0.593761963982342,15.0,-0.16328454009514407
left,2021-06-12,-149.0,35609.66,-0.6396596744463091,16.0,-0.17590641047273503
left,2021-06-13,-148.0,39122.03,-0.5455908883747701,17.0,-0.1500374943030618
left,2021-06-14,-147.0,40496.92,-0.511050701972729,18.0,-0.14053894304250047
left,2021-06-15,-146.0,40093.93,-0.5210516725269867,19.0,-0.14328920994492136
left,2021-06-16,-145.0,38394.4,-0.5643650081849719,20.0,-0.1552003772508673
left,2021-06-17,-144.0,38027.63,-0.5739636230340275,21.0,-0.15783999633435758
left,2021-06-18,-143.0,35777.39,-0.6349604941704702,22.0,-0.17461413589687932
left,2021-06-19,-142.0,35498.24,-0.642793506023027,23.0,-0.17676821415633243
left,2021-06-20,-141.0,35565.82,-0.6408915595152708,24.0,-0.17624517886669946
left,2021-06-21,-140.0,31686.69,-0.7563799049160976,25.0,-0.20800447385192686
left,2021-06-22,-139.0,32508.26,-0.7307824129203772,26.0,-0.20096516355310373
left,2021-06-23,-138.0,33688.35,-0.6951245435487625,27.0,-0.1911592494759097
left,2021-06-24,-137.0,34695.34,-0.6656712398241584,28.0,-0.1830595909516436
left,2021-06-25,-136.0,31704.87,-0.7558063269666538,29.0,-0.20784673991582983
left,2021-06-26,-135.0,32265.95,-0.7382641291866475,30.0,-0.20302263552632807
left,2021-06-27,-134.0,34596.99,-0.6685099397507965,31.0,-0.18384023343146907
left,2021-06-28,-133.0,34541.8,-0.6701064389583294,32.0,-0.1842792707135406
left,2021-06-29,-132.0,35928.75,-0.6307388131595496,33.0,-0.17345317361887616
left,2021-06-30,-131.0,34995.83,-0.6570477122764085,34.0,-0.18068812087601235
left,2021-07-01,-130.0,33538.49,-0.6995828892996147,35.0,-0.19238529455739403
left,2021-07-02,-129.0,33832.49,-0.6908550404159081,36.0,-0.18998513611437473
left,2021-07-03,-128.0,34633.93,-0.6674427864179892,37.0,-0.18354676626494704
left,2021-07-04,-127.0,35126.9,-0.6533094050929531,38.0,-0.1796600864005621
left,2021-07-05,-126.0,33673.22,-0.6955737611146365,39.0,-0.19128278430652507
left,2021-07-06,-125.0,34193.9,-0.6802293582236407,40.0,-0.18706307351150123
left,2021-07-07,-124.0,33791.0,-0.692082128967715,41.0,-0.19032258546612166
left,2021-07-08,-123.0,32878.23,-0.7194658871884148,42.0,-0.19785311897681407
left,2021-07-09,-122.0,33766.87,-0.6927964795245374,43.0,-0.1905190318692478
left,2021-07-10,-121.0,33547.19,-0.6993235194892832,44.0,-0.19231396785955288
left,2021-07-11,-120.0,34236.21,-0.6789927679159079,45.0,-0.18672301117687468
left,2021-07-12,-119.0,33096.86,-0.7128382099758048,46.0,-0.19603050774334635
left,2021-07-13,-118.0,32768.54,-0.7228077150371606,47.0,-0.19877212163521918
left,2021-07-14,-117.0,32817.18,-0.7213244650578219,48.0,-0.19836422789090102
left,2021-07-15,-116.0,31891.09,-0.7499499633790333,49.0,-0.20623623992923418
left,2021-07-16,-115.0,31408.78,-0.7651891521477835,50.0,-0.21042701684064047
left,2021-07-17,-114.0,31503.78,-0.762169085178442,51.0,-0.20959649842407155
