rel_day,dd_pct_2025,dd_pct_2021,dd_pct_2017,dd_pct_2021_scaled,dd_pct_2017_scaled
-345,-51.48061373819359,-73.7680224628581,-94.79230634941825,-33.89114781315112,-23.042185133144038
-344,-51.02326026998683,-73.08898199889178,-95.36096078209881,-33.57917712494431,-23.18041408039962
-343,-52.55369415045463,-70.93434718391916,-95.33693096047402,-32.58927601929429,-23.174572893283084
-342,-54.42171715507641,-72.16607675559916,-95.31089865371383,-33.15516795438926,-23.168244940573505
-341,-54.253729414024896,-71.56771759117319,-95.36635208823257,-32.880264572003966,-23.181724603150123
-340,-53.658996713408214,-71.21088418858224,-95.33723903511024,-32.716325060165104,-23.1746477802974
-339,-51.827208843637074,-72.31908995047056,-96.01977839164502,-33.22546660998031,-23.34055996051125
-338,-51.29479989909246,-71.64432781596611,-95.87313486480657,-32.91546150918312,-23.30491374169753
-337,-51.55426678217303,-71.36460797104593,-95.76325491122316,-32.786950180101,-23.27820403992535
-336,-50.889251944269695,-71.58903521894166,-95.79919695211493,-32.890058502349476,-23.286940858262042
-335,-48.82885915169063,-72.87793748398401,-95.7805070908512,-33.48221721452384,-23.282397712726958
-334,-49.30905706024157,-72.53386505023781,-95.73342301728299,-33.32414045821125,-23.27095248070589
-333,-49.99802307727791,-72.96224574102665,-95.33076946774972,-33.5209508487722,-23.17307515299679
-332,-50.83671142115567,-73.27699163268306,-95.43874962774315,-33.66555414951922,-23.19932305151404
-331,-49.04861861257535,-72.15863038978839,-95.38827673317655,-33.15174688010886,-23.187054062335505
-330,-47.91470980886536,-71.6586728029853,-95.40172932562461,-32.922052008144775,-23.19032412862724
-329,-46.82463968893712,-71.50703637157395,-95.26484149559965,-32.85238587722188,-23.15704933193348
-328,-46.61941990328624,-71.25255719008796,-95.24794873638054,-32.73547083372246,-23.152943027315235
-327,-46.43992545818563,-68.45531432916164,-95.32404317152569,-31.45033713887971,-23.171440119850924
-326,-46.23184166910402,-66.2370227090471,-95.42036784111563,-30.431190269003547,-23.19485479299327
-325,-46.49903037854352,-65.75431167526501,-95.36655747132339,-30.209418958742592,-23.18177452782633
-324,-45.674678948594774,-64.67525480856844,-95.28460961809014,-29.71366924840676,-23.161854582018666
-323,-46.65810507057022,-65.24862497599916,-95.27716448104827,-29.977091967998163,-23.160044812506065
-322,-44.93285136971175,-66.25591249587526,-95.2655603364175,-30.439868779504145,-23.157224068300213
-321,-44.416215565005366,-64.79338999578532,-95.27541872477639,-29.767943945738075,-23.159620452758283
-320,-44.334502759158944,-65.59542132884913,-95.27125971718749,-30.13642017096602,-23.15860947806504
-319,-44.549294568075325,-64.86504091134042,-95.01463354522022,-29.800862433843786,-23.096228595141028
-318,-46.49162114252954,-63.46836619480196,-94.91676850244919,-29.1591899627005,-23.07243948692711
-317,-48.60311823231343,-60.85939943801404,-94.80658047422955,-27.960555716561984,-23.04565489814061
-316,-48.77533016721556,-61.094115402089685,-94.70455642386962,-28.068390970470265,-23.02085481523345
-315,-48.67213311144488,-59.90833716137725,-94.64196592694523,-27.523610396342256,-23.005640270158544
-314,-47.56287670304711,-59.496374004751765,-94.71960073527146,-27.334342692415447,-23.024511797765808
-313,-47.54819340522235,-57.30320461680601,-94.6593207981187,-26.326737697397828,-23.009858905298266
-312,-46.92798036729873,-57.07753384062379,-94.54543587426447,-26.22305806254587,-22.98217567233999
