rel_day,dd_pct_2017,dd_pct_2021,dd_pct_2017_scaled,dd_pct_2021_scaled
-256,-94.10768119582967,-30.15448026217129,-54.33309507122374,-30.15448026217129
-255,-93.8296068333124,-31.39162806424245,-54.17254876316966,-31.39162806424245
-254,-93.86252773939623,-31.614796979943517,-54.19155565715912,-31.614796979943517
-253,-93.8420110538877,-33.146290888209315,-54.179710343257895,-33.146290888209315
-252,-93.78585186115646,-26.554687931395126,-54.14728681821704,-26.554687931395126
-251,-93.78501444542144,-28.325664662168148,-54.14680333601701,-28.325664662168148
-250,-93.69420717665284,-25.207251013438537,-54.09437573494908,-25.207251013438537
-249,-93.71404346187666,-28.161030399381314,-54.105828219562774,-28.161030399381314
-248,-93.87467026755432,-27.610028937199292,-54.19856614905984,-27.610028937199292
-247,-93.89052882803668,-27.58123533580371,-54.20772209322329,-27.58123533580371
-246,-93.86273709332998,-24.24230267093591,-54.191676527709134,-24.24230267093591
-245,-93.8070489469497,-22.615575221396146,-54.15952496140581,-22.615575221396146
-244,-93.75198886237072,-18.839039030948,-54.12773600675253,-18.839039030948
-243,-93.65589540677469,-17.152622223656554,-54.072256424296796,-17.152622223656554
-242,-93.6613909475359,-14.40199686956557,-54.07542927623463,-14.40199686956557
-241,-93.56540216890676,-15.109401621590479,-54.02001012905391,-15.109401621590479
-240,-93.60052129129505,-9.368801326074871,-54.04028616381849,-9.368801326074871
-239,-93.55231754804673,-12.261040865744388,-54.01245571967813,-12.261040865744388
-238,-93.66898002763472,-17.333807255780286,-54.07981083367258,-17.333807255780286
-237,-93.4553343382322,-15.875563085152223,-53.956462437384836,-15.875563085152223
-236,-93.3740003349663,-12.815225168183497,-53.909504228704996,-12.815225168183497
-235,-93.29083448477998,-14.358739849885405,-53.86148840271254,-14.358739849885405
-234,-93.10314868316377,-13.645457946315986,-53.75312795462635,-13.645457946315986
-233,-93.10262529832936,-13.678544681081616,-53.752825778251314,-13.678544681081616
-232,-93.081532889503,-14.85104381616329,-53.740648070337556,-14.85104381616329
-231,-92.9432022777708,-19.301439102717353,-53.6607828544168,-19.301439102717353
-230,-92.56254448771092,-19.00709299652271,-53.441009976856606,-19.00709299652271
-229,-92.39113595444458,-21.943803476342538,-53.34204721403388,-21.943803476342538
-228,-92.19779759661684,-23.488946587943428,-53.23042326109736,-23.488946587943428
-227,-91.93532010216472,-18.374847686289787,-53.078881809019215,-18.374847686289787
-226,-91.8518925595612,-17.135212827645642,-53.030714894839235,-17.135212827645642
-225,-91.73329355608591,-17.175242595344198,-52.96224172825716,-17.175242595344198
-224,-91.64196290248294,-14.507237852764177,-52.90951195081422,-14.507237852764177
-223,-90.97742117824394,-12.760154629781638,-52.525838607437095,-12.760154629781638
