u,obs_2017,fit_2017,obs_2021,fit_2021,obs_2025,fit_2025
0.40703517587939697,0.8687922165595714,1.432183210755361,2.657758692358475,1.244571407205405,0.8348875583605878,1.0815362001180644
0.4120603015075377,0.7464616562486072,1.3270084269788884,2.5627632295351526,1.1531742118855612,0.8016204303972662,1.0021117695426975
0.4170854271356784,0.741346147821988,1.4363721951005846,2.6678598647941434,1.2482116468773579,0.9832877824733852,1.084699579060831
0.4221105527638191,0.7673924327942548,1.5447912533583925,3.1353139290048775,1.3424281262289328,1.0054826573183657,1.1665739757217748
0.4271356783919598,0.8154907835409122,1.8095544144562874,3.6383511162794866,1.5725080891199688,1.310554238661813,1.3665141377308219
0.4321608040201005,0.8854918625014062,1.9889671470715655,4.295886565474344,1.7284182795374332,1.3574041496938338,1.5020005501034297
0.4371859296482412,0.9802512013243597,2.1200128794845847,4.617132240020951,1.8422974050380836,1.3815592803771028,1.6009618438899376
0.44221105527638194,0.9545720543174601,2.3528064844737773,6.515547297329795,2.044595729982844,1.374240459666408,1.7767596811086872
0.4472361809045226,1.0175242118552763,2.4087054987389935,5.822892531259195,2.0931721371931777,1.5478586857093106,1.8189727213291917
0.45226130653266333,1.100827827074272,2.4088070249706908,5.306821948357952,2.0932603637860483,1.5700584997339957,1.8190493904969471
0.457286432160804,1.0898141232274887,2.2770129133230306,5.084691630554682,1.9787308945373454,1.3981158283675108,1.7195229460875285
0.4623115577889447,0.9152738578702951,2.173638879542269,4.972543407701426,1.8888985562409304,1.4807995126407223,1.641458380851385
0.46733668341708545,0.924454763695402,1.9536935696392157,3.530875649866447,1.6977654373783673,1.4992186519989565,1.4753631404380607
0.4723618090452261,0.9886130539805392,2.02051293611727,3.7336743883714187,1.7558316626641006,1.4665127649909013,1.5258228603763053
0.47738693467336685,0.8151848602171078,1.857925873463103,3.4428705410424896,1.6145430287510092,1.4995884038061318,1.4030426234549396
0.4824120603015075,0.678740378399522,1.8809546625653788,4.045173678097643,1.6345551139674945,1.590588533418792,1.4204331841541251
0.48743718592964824,0.692345998318067,1.80819069291994,3.839646080306689,1.5713230111084533,1.459425835768298,1.3654843014659055
0.49246231155778897,0.5584251487131687,1.8183244770229448,4.5076050705374495,1.580129299191345,1.567353834012302,1.373136991617049
0.49748743718592964,0.6587425359691298,2.010995376012422,4.898459280740371,1.7475608750414713,1.653947536088161,1.518635521694431
0.5025125628140703,0.6317855607465153,2.2024116136035063,6.605742868068602,1.913902146459569,1.6798396501675268,1.6631865740252079
0.507537688442211,0.7009458537018269,2.199505040241926,6.889793943339503,1.911376325690549,1.4459321126583657,1.6609916283749304
0.5125628140703518,0.7458420853255572,2.2018524383651616,6.895811931073149,1.9134162215387662,1.3620594400324901,1.6627643038450117
0.5175879396984925,0.7898848209712612,2.4010873082341493,7.842102013853248,2.0865519073191154,1.4665312570694011,1.8132197221678352
