u,a_2021,b_2021,a_2025,b_2025
0.13226452905811623,-0.3052167438002822,-0.13118045283633342,0.5832827449242786,-0.1511804528363334
0.1342685370741483,-0.32891119422023213,-0.15995971251842264,0.451976501054542,-0.17995971251842263
0.13627254509018036,-0.3643869151432451,-0.20080041172891408,0.3240233720791537,-0.22080041172891407
0.13827655310621242,-0.40834736648340103,-0.2502931752278975,0.19503201600623407,-0.27029317522789753
0.1402805611222445,-0.4558698395290625,-0.30346736149325243,0.06491752084197686,-0.32346736149325245
0.14228456913827653,-0.5089291355283246,-0.3623080265961213,-0.06263794275392419,-0.38230802659612134
0.1442885771543086,-0.5646063771616311,-0.42390340230008244,-0.1908104490092283,-0.44390340230008246
0.14629258517034066,-0.62263269452983,-0.4879997307937241,-0.3235837186227885,-0.5079997307937241
0.14829659318637273,-0.6808784185981817,-0.5526965385184694,-0.4193461716790585,-0.5726965385184695
0.1503006012024048,-0.7397016684060809,-0.6183232978311571,-0.513311510314229,-0.6383232978311572
0.15230460921843686,-0.7977359885469137,-0.683396060472219,-0.6003728519496592,-0.703396060472219
0.15430861723446893,-0.8367809549603734,-0.7251289373757049,-0.6607376122227705,-0.745128937375705
0.156312625250501,-0.8608744719803778,-0.7495705988865594,-0.7081267667212154,-0.7898133003485719
0.15831663326653306,-0.8781275359872086,-0.7663720762698769,-0.7517819692987767,-0.830861593509739
0.16032064128256512,-0.8899019287128876,-0.7770258605985252,-0.7954624042076838,-0.8733187869510547
0.1623246492985972,-0.8957456163428982,-0.7811270422594927,-0.8328407985941017,-0.910801186845084
0.16432865731462926,-0.8960259355105283,-0.7789580501504291,-0.8683522428885049,-0.9466972239927389
0.16633266533066132,-0.8914353392242095,-0.7712987233817273,-0.9037851882333597,-0.9829707974842464
0.16833667334669336,-0.8813564783224336,-0.7573719261317755,-0.9219902342961368,-1.0027200986652502
0.17034068136272543,-0.8682350900154954,-0.7391509550018616,-0.938788080152143,-1.0199816643983388
0.1723446893787575,-0.8507960440209252,-0.7153220190148046,-0.9517979512136759,-1.0322943450636708
0.17434869739478956,-0.8319856537452534,-0.6888415151902978,-0.9582533451558782,-1.035093628194857
0.17635270541082163,-0.8196149574152052,-0.6698979329662894,-0.9640440356325538,-1.0359063523869338
0.1783567134268537,-0.7994913582310873,-0.6415020424243942,-0.9974342336785434,-1.0628546267472463
0.18036072144288576,-0.7721904617607979,-0.6043990499246479,-1.021256694055523,-1.0779234049556992
0.18236472945891782,-0.6980873185745591,-0.5075785288745558,-1.0369157583585482,-1.0823682762849853
0.1843687374749499,-0.6187717081231905,-0.4043576463523401,-1.04487073342236,-1.0776004193816953
0.18637274549098196,-0.5371756975524882,-0.2994340121429953,-1.042657934374986,-1.0603334374742903
0.18837675350701402,-0.45346704763747836,-0.19226606034573754,-1.0345245641726948,-1.0357783465234438
0.1903807615230461,-0.3515847568311876,-0.06753636693751819,-1.0241039303549158,-1.008130568681491
0.19238476953907813,-0.2351013725979554,0.07281811248116832,-1.0057397723610322,-0.9710345184404612
0.1943887775551102,-0.10544273301740913,0.22846050021298356,-0.976154126906838,-0.9202996143185743
0.19639278557114226,0.0288785571187446,0.3884329076278243,-0.9451560592164318,-0.8681681584717158
0.19839679358717432,0.15881150001283387,0.5419578449100962,-0.9012410861106331,-0.8002145183191114
0.2004008016032064,0.2894867463387525,0.6959381621501229,-0.8136150131776065,-0.6856647072376113
0.20240480961923846,0.41810067557334674,0.846984047325919,-0.6881481403765228,-0.5233806792724707
0.20440881763527052,0.5016840861208498,0.9400535213388262,-0.5543255980354632,-0.3500143634854322
0.2064128256513026,0.5795630559253531,0.98,-0.4178005773317615,-0.17258911927639134
0.20841683366733466,0.6576010777041382,0.98,-0.2833553683194472,0.002807562271918726
