date,value,ma30
2009-08-23,15.0,43.6
2009-08-24,15.0,43.0
2009-08-25,51.0,44.03333333333333
2009-08-26,50.0,43.233333333333334
2009-08-27,29.0,42.833333333333336
2009-08-28,75.0,44.63333333333333
2009-08-29,78.0,46.733333333333334
2009-08-30,98.0,49.43333333333333
2009-08-31,87.0,51.4
2009-09-01,79.0,53.266666666666666
2009-09-02,65.0,55.03333333333333
2009-09-03,62.0,54.4
2009-09-04,64.0,53.63333333333333
2009-09-05,76.0,53.166666666666664
2009-09-06,68.0,52.733333333333334
2009-09-07,79.0,52.7
2009-09-08,69.0,51.63333333333333
2009-09-09,54.0,50.93333333333333
2009-09-10,67.0,50.833333333333336
2009-09-11,67.0,50.96666666666667
2009-09-12,69.0,50.43333333333333
2009-09-13,75.0,50.833333333333336
2009-09-14,74.0,52.43333333333333
2009-09-15,45.0,53.266666666666666
2009-09-16,72.0,55.1
2009-09-17,85.0,57.63333333333333
2009-09-18,78.0,59.63333333333333
2009-09-19,74.0,61.333333333333336
2009-09-20,78.0,63.5
2009-09-21,70.0,65.6
2009-09-22,27.0,66.0
2009-09-23,35.0,66.66666666666667
2009-09-24,97.0,68.2
2009-09-25,93.0,69.63333333333334
2009-09-26,100.0,72.0
2009-09-27,88.0,72.43333333333334
2009-09-28,85.0,72.66666666666667
2009-09-29,90.0,72.4
2009-09-30,85.0,72.33333333333333
2009-10-01,82.0,72.43333333333334
2009-10-02,73.0,72.7
2009-10-03,58.0,72.56666666666666
2009-10-04,53.0,72.2
2009-10-05,55.0,71.5
2009-10-06,46.0,70.76666666666667
2009-10-07,59.0,70.1
2009-10-08,70.0,70.13333333333334
2009-10-09,77.0,70.9
2009-10-10,79.0,71.3
2009-10-11,74.0,71.53333333333333
2009-10-12,59.0,71.2
2009-10-13,57.0,70.6
2009-10-14,69.0,70.43333333333334
2009-10-15,71.0,71.3
2009-10-16,61.0,70.93333333333334
2009-10-17,57.0,70.0
2009-10-18,75.0,69.9
2009-10-19,112.0,71.16666666666667
2009-10-20,96.0,71.76666666666667
2009-10-21,81.0,72.13333333333334
2009-10-22,91.0,74.26666666666667
2009-10-23,89.0,76.06666666666666
2009-10-24,63.0,74.93333333333334
2009-10-25,76.0,74.36666666666666
2009-10-26,71.0,73.4
2009-10-27,65.0,72.63333333333334
2009-10-28,67.0,72.03333333333333
2009-10-29,47.0,70.6
2009-10-30,60.0,69.76666666666667
2009-10-31,46.0,68.56666666666666
2009-11-01,25.0,66.96666666666667
2009-11-02,33.0,66.13333333333334
2009-11-03,62.0,66.43333333333334
2009-11-04,64.0,66.73333333333333
2009-11-05,58.0,67.13333333333334
2009-11-06,61.0,67.2
2009-11-07,69.0,67.16666666666667
2009-11-08,73.0,67.03333333333333
2009-11-09,64.0,66.53333333333333
2009-11-10,78.0,66.66666666666667
2009-11-11,73.0,67.13333333333334
