date,price,gma200,avg_index,estimate_price,estimate_index,ahr999
2021-10-30,62062.88,44347.08172983868,1.3994805876536707,26660.057480900457,2.327934965799023,3.257899793955944
2021-10-31,61333.45,44340.142363766456,1.3832488289464764,26693.321460171122,2.297707690349255,3.17830147193692
2021-11-01,60950.0,44331.59161797492,1.37486604417981,26726.619829037303,2.2804978852499893,3.135379106254075
2021-11-02,63357.2,44338.23692215224,1.428951721992029,26759.952615700942,2.367612563066582,3.3832040490039534
2021-11-03,62944.4,44348.123361468024,1.419324995715363,26793.319848380634,2.3492572162088496,3.3343594883299112
2021-11-04,61499.24,44367.512447539055,1.3861322532498932,26826.721555311826,2.292462009314099,3.1776555304603296
2021-11-05,61000.01,44387.29299417047,1.3742674059445648,26860.15776474793,2.2710220295153376,3.1209915533450037
2021-11-06,61539.3,44406.19972012464,1.3858267626560878,26893.628504958364,2.2882483108835254,3.1711157488249775
2021-11-07,63433.66,44442.295043906895,1.4273263776618768,26927.133804230503,2.355752396864236,3.362427535284514
2021-11-08,67510.06,44501.82602890513,1.5170177501514297,26960.67369086862,2.5040197724311746,3.7986424415082354
2021-11-09,66967.98,44561.46643191472,1.5028226259636248,26994.24819319409,2.4808240452084256,3.7282385061738283
2021-11-10,64896.86,44618.86106209026,1.4544714601677413,27027.857339545393,2.4011100541457706,3.492346046476843
2021-11-11,64793.69,44679.9975148665,1.4501721934617613,27061.501158278577,2.3943124818180497,3.4721653835909545
2021-11-12,64158.51,44718.64762582902,1.4347148987337157,27095.179677766148,2.3678938749628373,3.3972526210294927
2021-11-13,64482.54,44753.73582247165,1.4408303310317652,27128.892926398174,2.37689537036929,3.424702943317054
2021-11-14,65714.05,44793.72599844823,1.4670369239271703,27162.640932581864,2.4192805906871646,3.5491739558784055
2021-11-15,63441.68,44831.65208505166,1.4151091260175426,27196.42372474178,2.332721413745452,3.301055361047733
2021-11-16,60147.32,44841.19712441041,1.3413406389022857,27230.24133131941,2.208842707935179,2.962810489096428
2021-11-17,60314.28,44850.47754283458,1.3447856813207097,27264.09378077338,2.212223904633632,2.9749670308266993
2021-11-18,57017.38,44851.99985981106,1.271233839699744,27297.98110157992,2.0887031824012805,2.655230166557055
2021-11-19,58187.85,44855.78785098512,1.2972205547543867,27331.90332223197,2.1289351610090606,2.761698450600293
