date,value,ma30
2009-10-09,77.0,70.9
2009-10-10,79.0,71.3
2009-10-11,74.0,71.53333333333333
2009-10-12,59.0,71.2
2009-10-13,57.0,70.6
2009-10-14,69.0,70.43333333333334
2009-10-15,71.0,71.3
2009-10-16,61.0,70.93333333333334
2009-10-17,57.0,69.96666666666667
2009-10-18,75.0,69.86666666666666
2009-10-19,112.0,71.13333333333334
2009-10-20,97.0,71.76666666666667
2009-10-21,81.0,72.13333333333334
2009-10-22,91.0,74.26666666666667
2009-10-23,89.0,76.06666666666666
2009-10-24,63.0,74.93333333333334
2009-10-25,76.0,74.36666666666666
2009-10-26,71.0,73.4
2009-10-27,65.0,72.63333333333334
2009-10-28,67.0,72.03333333333333
2009-10-29,47.0,70.6
2009-10-30,60.0,69.76666666666667
2009-10-31,46.0,68.56666666666666
2009-11-01,25.0,66.96666666666667
2009-11-02,33.0,66.13333333333334
2009-11-03,62.0,66.43333333333334
2009-11-04,64.0,66.73333333333333
2009-11-05,58.0,67.16666666666667
2009-11-06,61.0,67.23333333333333
2009-11-07,69.0,67.2
2009-11-08,73.0,67.06666666666666
2009-11-09,64.0,66.56666666666666
2009-11-10,78.0,66.7
2009-11-11,66.0,66.93333333333334
2009-11-12,66.0,67.23333333333333
2009-11-13,83.0,67.7
2009-11-14,79.0,67.96666666666667
2009-11-15,96.0,69.13333333333334
2009-11-16,97.0,70.46666666666667
2009-11-17,92.0,71.03333333333333
2009-11-18,79.0,69.93333333333334
2009-11-19,72.0,69.1
2009-11-20,86.0,69.26666666666667
2009-11-21,73.0,68.66666666666667
2009-11-22,106.0,69.23333333333333
2009-11-23,96.0,70.33333333333333
2009-11-24,93.0,70.9
2009-11-25,90.0,71.53333333333333
2009-11-26,84.0,72.16666666666667
2009-11-27,74.0,72.4
2009-11-28,71.0,73.2
2009-11-29,60.0,73.2
2009-11-30,75.0,74.16666666666667
2009-12-01,75.0,75.83333333333333
2009-12-02,94.0,77.86666666666666
2009-12-03,88.0,78.73333333333333
2009-12-04,36.0,77.8
2009-12-06,105.0,79.36666666666666
2009-12-07,112.0,81.06666666666666
2009-12-08,106.0,82.3
2009-12-09,109.0,83.5
2009-12-10,104.0,84.83333333333333
2009-12-11,112.0,85.96666666666667
2009-12-12,111.0,87.46666666666667
2009-12-13,114.0,89.06666666666666
2009-12-14,108.0,89.9
2009-12-15,113.0,91.03333333333333
2009-12-16,137.0,92.4
2009-12-17,173.0,94.93333333333334
2009-12-18,225.0,99.36666666666666
2009-12-19,199.0,103.36666666666666
2009-12-20,175.0,106.8
2009-12-21,176.0,109.8
2009-12-22,162.0,112.76666666666667
2009-12-23,154.0,114.36666666666666
2009-12-24,154.0,116.3
2009-12-25,151.0,118.23333333333333
2009-12-26,174.0,121.03333333333333
2009-12-27,168.0,123.83333333333333
2009-12-28,137.0,125.93333333333334
2009-12-29,171.0,129.26666666666668
2009-12-30,141.0,131.96666666666667
2009-12-31,138.0,134.06666666666666
2010-01-01,133.0,136.0
2010-01-02,127.0,137.1
2010-01-03,186.0,140.36666666666667
2010-01-04,184.0,145.3
2010-01-05,198.0,148.4
2010-01-06,163.0,150.1
2010-01-07,154.0,151.7
2010-01-08,153.0,153.16666666666666
2010-01-09,151.0,154.73333333333332
2010-01-10,190.0,157.33333333333334
2010-01-11,159.0,158.93333333333334
2010-01-12,162.0,160.53333333333333
2010-01-13,168.0,162.53333333333333
2010-01-14,146.0,163.63333333333333
2010-01-15,142.0,163.8
2010-01-16,126.0,162.23333333333332
2010-01-17,131.0,159.1
2010-01-18,127.0,156.7
2010-01-19,124.0,155.0
2010-01-20,158.0,154.4
2010-01-21,183.0,155.1
2010-01-22,136.0,154.5
2010-01-23,163.0,154.8
2010-01-24,155.0,154.93333333333334
2010-01-25,215.0,156.3
2010-01-26,201.0,157.4
2010-01-27,165.0,158.33333333333334
2010-01-28,178.0,158.56666666666666
2010-01-29,199.0,160.5
2010-01-30,214.0,163.03333333333333
2010-01-31,167.0,164.16666666666666
2010-02-01,193.0,166.36666666666667
2010-02-02,146.0,165.03333333333333
2010-02-03,271.0,167.93333333333334
2010-02-04,234.0,169.13333333333333
2010-02-05,228.0,171.3
2010-02-06,195.0,172.66666666666666
2010-02-07,224.0,175.03333333333333
2010-02-08,208.0,176.93333333333334
