rel_day,dd_pct_2025,dd_pct_2021,dd_pct_2017,dd_pct_2021_scaled,dd_pct_2017_scaled
-239,-16.764348901645278,-12.261040865744388,-93.6729207094773,-7.078915244382524,-31.224306903159096
-238,-17.219771747096434,-17.333807255780286,-93.45940800175748,-10.007678285205836,-31.153136000585825
-237,-19.04371929905816,-15.875563085152223,-93.37812462405131,-9.165760620749522,-31.126041541350435
-236,-19.31887840588041,-12.815225168183497,-93.29501053964003,-7.3988737005764085,-31.098336846546676
-235,-16.058150614768053,-14.358739849885405,-93.10744156122668,-8.290022317555145,-31.035813853742226
-234,-15.418070884268854,-13.645457946315986,-93.10691850216809,-7.878208818521252,-31.035639500722695
-233,-18.548434609548035,-13.678544681081616,-93.08583922210657,-7.897311453744795,-31.028613074035523
-232,-19.823468733057435,-14.85104381616329,-92.94759471291904,-8.574254145008803,-30.982531570973013
-231,-19.007050148617743,-19.301439102717353,-92.56717385960049,-11.143691061701032,-30.855724619866827
-230,-20.34157053962822,-19.00709299652271,-92.39587201790954,-10.973750258054638,-30.798624005969845
-229,-21.144120062988858,-21.943803476342538,-92.20265400166333,-12.669260844110608,-30.734218000554442
-228,-20.51962067734825,-23.488946587943428,-91.94033988377628,-13.56134963552988,-30.64677996125876
-227,-19.643230535977484,-18.374847686289787,-91.8569642698357,-10.608723257997779,-30.618988089945233
-226,-17.498080978289,-17.135212827645642,-91.73843908715733,-9.893019738662739,-30.579479695719108
-225,-16.448050873316646,-17.175242595344198,-91.64716528143192,-9.9161309358191,-30.54905509381064
-224,-16.385610299987185,-14.507237852764177,-90.98303719472966,-8.375757679491326,-30.327679064909887
-223,-16.27026466493574,-12.760154629781638,-90.81236302390903,-7.367078710405678,-30.270787674636342
-222,-12.920848102024518,-12.765661683621833,-90.68761343843333,-7.370258209422756,-30.229204479477776
-221,-17.465055755498582,-12.510560737992583,-90.3455851200159,-7.22297560979318,-30.115195040005297
-220,-19.087242098466405,-12.068619667317682,-90.98706474948087,-6.967820813673075,-30.329021583160287
-219,-21.206501039370764,-14.722323834603035,-90.58043863732654,-8.499937629004906,-30.19347954577551
-218,-19.372839184958956,-13.010932834224498,-90.54079076068479,-7.511865574247654,-30.180263586894927
-217,-19.488763761786565,-12.402418188792163,-90.8898803763933,-7.160539479901466,-30.296626792131097
-216,-19.535930488844812,-13.861224907930792,-90.96818231746546,-8.002781931891787,-30.322727439155152
-215,-19.538629379183703,-16.950208387213383,-90.4871249012726,-9.786207375177899,-30.162374967090862
-214,-17.811586463932592,-13.653896173974346,-90.07563433987332,-7.883080631531289,-30.02521144662444
-213,-14.427101354315086,-13.761639017654105,-89.62125293566896,-7.945285991333054,-29.87375097855632
-212,-14.87701573904301,-11.404190660717662,-89.18821234105543,-6.584212547855158,-29.729404113685142
-211,-11.364865453931216,-10.916076200452618,-89.31290962062526,-6.3023995328257865,-29.770969873541752
-210,-11.085611185427558,-11.339364346830106,-88.53684689538296,-6.546785058081606,-29.51228229846099
-209,-13.830365632381502,-5.960023822449023,-87.8578639314165,-3.4410213582675255,-29.2859546438055
-208,-13.034916659628548,-6.624053123528395,-87.2047200849448,-3.8243988539954996,-29.068240028314932
-207,-9.61760214576255,-6.352697486725701,-87.86037461489778,-3.667731604041342,-29.28679153829926
-206,-11.739381186163145,-8.911671445614955,-88.51221081372299,-5.145155908055295,-29.504070271240995
-205,-11.518659633999818,-10.137479454025943,-89.2559484891439,-5.852876491686178,-29.751982829714635
-204,-10.732056551032688,-16.814486157087526,-88.70490577091059,-9.707848109079718,-29.56830192363686
-203,-10.831421690292032,-17.569189395723704,-88.20313521599724,-10.143576227064598,-29.40104507199908
-202,-12.679403839814295,-16.400657708032284,-88.5597045762437,-9.468924142619349,-29.519901525414568
-201,-13.105590125569066,-20.270428912151083,-88.03068264437738,-11.7031375890196,-29.343560881459126
