scaled_day,dd_pct_2025,dd_pct_2021,dd_pct_2017
-144.0,-14.26683624105788,-15.87282793780626,-50.87487224809561
-143.87,-14.292210821849153,-15.950432784131701,-50.845327637247784
-143.63,-14.339056201771506,-16.0928621355774,-50.87705109803467
-143.0,-14.462025324067675,-15.725708148064857,-50.96326894715471
-142.95,-14.473575828882097,-15.696568942706712,-50.97027541425066
-142.75,-14.519777848139778,-15.580012121274164,-51.055078577354784
-142.03,-14.686105117467434,-14.927429485203005,-51.361846804156
-142.0,-14.693035420356088,-14.900232376086604,-51.38506481434411
-141.87,-14.399562977384,-14.782378236582206,-51.48567619182592
-141.12,-12.706452729468051,-15.02730283880056,-52.06612644652865
-141.0,-12.435555089801488,-15.066812494355737,-52.09051335929654
-140.99,-12.441397676990123,-15.070104965652,-52.0924425061356
-140.2,-12.902962064892678,-14.678459021061908,-52.2430644026405
-140.11,-12.955545349590423,-14.633577304429501,-52.15505357792898
-140.0,-13.019813808665468,-14.53501004408006,-52.04748479217042
-139.29,-12.406704316842612,-13.888247254739774,-51.35317717500159
-139.22,-12.346256902155858,-13.835280565894395,-51.329486175566146
-139.0,-12.156279313140328,-14.12341291377698,-51.26545254012224
-138.37,-10.947068631845928,-14.94851918271347,-51.08208349316924
-138.34,-10.889487170831908,-14.985720071642335,-51.0867225438494
-138.0,-10.236897279339681,-15.238601182820092,-51.14549587424998
-137.46,-9.49238818701944,-15.637944536111316,-51.23884175194503
-137.45,-9.478600981606075,-15.63629982508912,-51.23557674362891
-137.0,-8.85817673800588,-15.562287829090428,-50.404139155310475
-136.58,-10.115610436137395,-15.49511683398817,-49.6281307395466
-136.54,-10.235366026435699,-15.54491943330176,-49.55422517614048
-136.0,-11.852066495461955,-16.21725452403488,-49.842875173228066
-135.7,-11.757116275333022,-16.59056388960336,-50.0084061117406
-135.62,-11.73179621663198,-16.59821651388083,-50.052547695343925
-135.0,-11.535565761698857,-16.657524352031203,-49.77175267495497
-134.82,-11.381649492074608,-16.674742756655505,-49.69016497324331
-134.7,-11.279038645658442,-16.41272178191695,-49.6381628201297
-134.0,-10.680475374897506,-14.871032229273354,-49.80969309332031
-133.94,-10.66347920371129,-14.738887410475323,-49.824395688165225
-133.79,-10.620988775745753,-14.790896558417717,-49.8611521752775
-133.06,-10.414202026313479,-15.071160339548895,-49.8032691942962
-133.0,-10.397205855127263,-15.05223128303237,-49.79843332755676
-132.87,-10.440252272107877,-15.005880270522175,-49.78843582083076
-132.18,-10.668729408389607,-14.75986335796805,-50.19146923955716
-132.0,-10.728332139593538,-14.931877802966829,-50.296608392268396
-131.95,-10.76783237167324,-14.981340826503052,-50.32381470243803
-131.29,-11.289235435125171,-15.621652433698967,-50.40759609369883
-131.04,-11.486736595523631,-15.141924723880072,-50.43933146917641
-131.0,-11.518336781187378,-15.065168290309064,-50.42215651052254
-130.41,-12.421739805511688,-13.936607152902099,-50.15175811181184
-130.12,-12.865785359840572,-13.709876980241788,-50.018925075864985
-130.0,-13.049528347838743,-13.616057598451308,-49.96928334382762
-129.53,-13.542599143409852,-13.250441851835662,-49.77485322668128
-129.21,-13.878306919117835,-13.296299051864409,-49.64247527458164
-129.0,-14.098615146926212,-13.326392839383276,-49.695678079305054
-128.65,-13.95248674451727,-13.37726466999161,-49.78966711427681
-128.29,-13.802183244896634,-13.741964730474434,-49.886341550247764
-128.0,-13.681105425757796,-14.035750890307803,-49.85013174132178
-127.77,-13.516192391297984,-14.26875370672738,-49.82109216655682
-127.37,-13.229387113976587,-14.322712526759284,-49.76999844744019
-127.0,-12.964092232454284,-14.372342039448046,-49.64005987811919
-126.89,-12.948573882523652,-14.387096759436599,-49.60142949264538
-126.46,-12.887911241885725,-14.920598967408482,-49.45041980397504
-126.01,-12.824427083078595,-15.480678622290398,-49.65820813057966
-126.0,-12.823016323993992,-15.485204748428115,-49.66289352646558
-125.54,-12.966324366828147,-15.559517456102952,-49.87842173721795
-125.13,-13.094055448484681,-15.625752695552265,-49.901864405188626
-125.0,-13.134555547546507,-15.620920954407616,-49.909287525631875
-124.62,-13.314401569145751,-15.604488258830926,-49.929650774944065
-124.24,-13.494247590745005,-15.599349691391023,-49.80940213860043
-124.0,-13.607834551755053,-16.13407891953496,-49.73345563143604
-123.71,-14.236966450232691,-16.780210070208916,-49.641686935279054
-123.36,-14.996263569084983,-17.54966798353122,-49.538458360431896
-123.0,-15.777254891333067,-17.37137057535886,-49.43234228464144
-122.79,-15.372540209841105,-17.267363753924986,-49.369675912470846
-122.48,-14.77510425144819,-17.113430320402653,-49.0070060564576
-122.0,-13.850042122323671,-16.8028483822553,-48.44545273101773
-121.87,-13.741860822101714,-16.718732440673726,-48.299318069889814
-121.6,-13.51717658317917,-16.54418479184648,-48.33865531088502
-121.0,-13.01787827446243,-16.21941950807162,-48.42607140198545
-120.96,-13.013369842821625,-16.197768489153294,-48.43189914139215
-120.72,-12.986319252976799,-16.06851765475358,-48.31029906871551
-120.04,-12.909675915083126,-17.22381044465881,-47.96300245807767
-120.0,-12.905167483442321,-17.29176884406501,-47.956479237836135
-119.84,-12.412642181383939,-17.56360244168977,-47.930386356869995
-119.13,-10.227061153499797,-17.292699415330947,-47.814599197582744
-119.0,-9.826884345577366,-17.242762759816628,-47.8458967718167
-118.96,-9.826909153128419,-17.227397635042987,-47.85610929039332
-118.21,-9.827374294710657,-16.23488179659502,-48.047594013705016
-118.08,-9.827454919251577,-16.062511468782695,-48.03439700474755
-118.0,-9.827504534353682,-16.06691056471895,-48.02608243386973
-117.29,-10.616655700777628,-16.14703802940281,-47.95008208816995
-117.2,-10.71668894722574,-16.15719503196837,-47.86911739429025
-117.0,-10.938985050443756,-16.002300672604886,-47.68919585233536
-116.38,-12.184786460625556,-15.50978850303834,-47.1314390722752
-116.31,-12.325441458549292,-15.459859902272106,-47.078699153655485
-116.0,-12.948342163640191,-15.609798325480561,-46.84757494767738
-115.46,-12.801997376685659,-15.870981385263033,-46.444982205685704
-115.43,-12.793867110743744,-15.886605448229002,-46.42684185557402
-115.0,-12.677333298909579,-16.240952577852845,-46.166830170639685
-114.55,-12.877685623863803,-16.609693187049746,-45.89472491896422
