post_day,dd_2025,dd_2017_scaled,dd_2021_scaled
90,-26.75439858967389,-19.296020714493274,-21.391659392483493
91,-25.92021060921299,-19.991491098477812,-20.193216079399665
92,-24.717870232454132,-19.4368179286762,-19.97973093704043
93,-25.615841040525222,-18.7633661933675,-19.76135401478977
94,-26.73360001584347,-18.235800728176045,-20.552975702987613
95,-26.838947919296718,-18.24969385087675,-21.481515915768696
96,-27.456747345195154,-18.549473172447914,-21.63037311994707
97,-27.429566479626487,-18.18982958956933,-21.73312615385511
98,-26.605208511315215,-18.86117784842518,-21.326706475918243
99,-26.800902725455057,-18.994070062390126,-19.704234787700983
100,-23.650872926727363,-19.516546471647253,-20.193848932042958
101,-22.343777975144175,-20.11262759323447,-23.053145590953637
102,-23.37241738680592,-19.85968454977885,-23.53266830125387
103,-23.454384935097472,-21.32317829185159,-23.450508634441185
104,-23.816948817147253,-21.716698023732977,-24.872528523925986
105,-25.733905419728288,-21.580158653015104,-26.02791220107749
106,-25.776023734428023,-21.77098128703242,-25.01358624687889
107,-28.70754022066533,-21.38251668404579,-25.899973342378843
108,-27.889348059322273,-20.738089531082508,-24.922806100816985
109,-28.221403624708728,-21.812253530659778,-24.199994309483394
110,-28.34675632450232,-21.822143262692144,-24.26378414551503
111,-28.515822911930222,-22.10516262671961,-25.49375036188517
112,-30.260722230075366,-21.638665832740035,-20.784967509131874
113,-29.332571841473175,-21.424925483498477,-19.75343480468583
114,-28.402873987663092,-21.847113563809888,-20.223327892332676
115,-28.669102147055845,-21.755748046269012,-21.446914269893384
116,-32.69411527846074,-21.555578512852325,-24.206006409594703
117,-32.660391762064954,-19.905011074633883,-24.047690624017882
118,-36.87680950198159,-19.94370486325452,-24.867645296097315
119,-37.59519416639292,-19.757241853820936,-25.23317756203965
120,-36.7077429145537,-19.159888468250138,-24.617839543250575
121,-38.811798484109495,-19.679515006184047,-21.82845599729854
122,-41.58616306322423,-19.94555388691066,-23.99297452656107
123,-48.80857606821804,-19.504587190201597,-24.663550318634545
124,-43.92547343415163,-19.297717066471378,-24.580407164605923
125,-44.51576325834915,-18.293018680397616,-25.425214131028824
126,-43.49112480595549,-18.209642980673628,-23.830476782300856
127,-43.88490258465977,-18.41390072235756,-24.07294486531047
128,-44.50052112694915,-18.182704911261283,-22.57762524601911
129,-45.895540966976526,-16.963536744595377,-22.702297216748306
130,-47.079905089869634,-18.293510622471267,-21.982247741682073
131,-44.70002386945039,-17.604571193602442,-21.628602842958397
132,-44.033531406207295,-18.197547991069726,-22.4396975780317
133,-44.74529324024702,-17.506386341109575,-22.663034696675748
134,-44.82823096102641,-17.406267647361666,-21.508591746426447
135,-46.126265624086706,-17.652560991063105,-21.012230024576905
136,-46.65385504452409,-17.943536245867893,-20.123499663884193
137,-46.1078884724987,-17.743044405575365,-19.802258530909796
138,-45.56985967537387,-16.83505504577351,-19.636938605942994
139,-45.5023805707645,-16.904164425361614,-17.694457281786935
140,-46.88995173111245,-16.709083947879243,-17.3767224945389
141,-48.08856375905437,-17.048354343500755,-17.171960456181843
142,-48.45256285494983,-17.461840138164476,-17.520816199767065
143,-45.11848892989092,-17.76453718513799,-18.843811754701633
144,-46.22449358399277,-17.557124228774775,-18.20531474999304
145,-47.12159043502935,-18.048336871075378,-18.50546649623276
146,-46.53599111418216,-19.07832786514273,-18.089331675015032
147,-46.70121710143089,-18.956750318871762,-17.909019984052325
148,-44.66254795037431,-18.598650416293257,-18.866543137483784
149,-45.29926173080856,-18.62596168314079,-20.784950405006377
150,-41.64800554585872,-18.952577293005618,-20.591639578667863
151,-43.1082113555242,-19.178972428003853,-21.575622814239274
152,-45.19728136822223,-19.662432741764505,-21.154972503891003
153,-46.12426113547545,-19.357920598174417,-21.66482082869294
154,-47.03728966199431,-19.362856982430714,-23.855859304534647
155,-45.09261499089682,-18.885741025068178,-23.43680822992011
156,-43.99623188212901,-19.09510478620621,-22.585159613299417
157,-43.70536454872666,-19.783382637803577,-23.603701734432406
158,-43.47298819300083,-20.60221173763609,-23.042216054762672
159,-43.20178890185213,-20.467945478568883,-23.20329415660685
160,-42.977486626252436,-20.68005732991145,-23.808369700099245
161,-41.50640045240506,-20.88558733557896,-22.827661904560024
162,-40.0589431903072,-20.87084603688921,-22.26085684186151
163,-40.791134772272855,-21.275765254063483,-22.372033657575567
164,-42.90819546393849,-20.678547576650935,-23.129515511286453
165,-43.98741213223948,-20.814238771379756,-23.77632512098536
166,-43.42451965838061,-20.636138777198244,-23.981660147546478
167,-45.158249965983835,-20.58640173720013,-23.963179139949702
168,-45.49578179425624,-20.379277160673197,-23.107374220833858
169,-43.14789221207265,-20.260617339804575,-25.14929037855202
170,-43.4289696230976,-20.632118423010127,-24.220844238461158
171,-42.84997709671313,-20.41983693646975,-23.751087983818266
172,-44.866781285998115,-20.34775894091996,-24.72648494839145
173,-46.76878440353916,-20.2969871262152,-25.529215766097956
174,-46.76716477674127,-20.40911599196811,-24.81264698056985
175,-47.19151501574446,-20.61680036464782,-24.819539943144115
176,-46.53325699171641,-21.848504572431935,-25.486558077114744
