date,mvrv,realized_cap,realized_price
2010-09-27,3.91751164,65478.96873039159,0.0158775384894257
2010-09-28,3.70318762,69115.55172992335,0.016716381688657512
2010-09-29,3.67369778,69815.41851273351,0.016852230016591075
2010-09-30,3.58697479,71617.7851921842,0.017256881808193583
2010-10-01,3.57218676,72133.02709065794,0.017348844843585055
2010-10-02,3.26607208,78257.893193833,0.018799340154183004
2010-10-03,3.2380791,78618.62617288197,0.01885836219935282
2010-10-04,3.23417646,79154.44649409232,0.01895211274714593
2010-10-05,3.17003606,81017.05631701867,0.019368864845026396
2010-10-06,3.22421336,81651.49281559951,0.01948072071756442
2010-10-07,3.40312006,82677.01257651192,0.01968781553948467
2010-10-08,4.14833833,85649.39571553146,0.020358298047474854
2010-10-09,4.40766563,89699.86228288374,0.021281106116935643
2010-10-10,4.45879954,92028.32173603661,0.021787523789871116
2010-10-11,4.28117529,93905.46351583749,0.022190168251671843
2010-10-12,4.2360293,94979.99459068896,0.022403055616258365
2010-10-13,4.55044647,97904.8917053496,0.023045120917368798
2010-10-14,4.35844526,99664.50743033996,0.02340284067259342
2010-10-15,4.34353862,103161.85469993587,0.024173838242515726
2010-10-16,4.06985428,106225.0317227574,0.024816613335846508
2010-10-17,4.06277933,107802.50769859066,0.025105966067814962
