date,rel_day,price,log_norm,series,rel_plot,log_plot
2017-12-22,5.0,14210.57,-0.31020343562019725,left_projected,-18.8,-0.15863803697616888
2017-12-23,6.0,15075.89,-0.25109271050829396,left_projected,-17.560000000000002,-0.1284088121539415
2017-12-24,7.0,14221.94,-0.3094036468849727,left_projected,-16.32,-0.15822902501697503
2017-12-25,8.0,14171.98,-0.31292271375266906,left_projected,-15.08,-0.16002867581311495
2017-12-26,9.0,15790.88,-0.20475693133125353,left_projected,-13.84,-0.10471269468280305
2017-12-27,10.0,15367.08,-0.23196193050101122,left_projected,-12.6,-0.11862533125821713
2017-12-28,11.0,14450.01,-0.29349438292175656,left_projected,-11.36,-0.1500930274261863
2017-12-29,12.0,14565.05,-0.2855646662289172,left_projected,-10.120000000000001,-0.14603777030946824
2017-12-30,13.0,12839.99,-0.4116249700761683,left_projected,-8.879999999999999,-0.21050500969695243
2017-12-31,14.0,13863.13,-0.3349566915295881,left_projected,-7.640000000000001,-0.17129685204823136
2018-01-01,15.0,13480.01,-0.3629816421978323,left_projected,-6.399999999999999,-0.18562881181997143
2018-01-02,16.0,14781.51,-0.2708124141319655,left_projected,-5.16,-0.13849346858708714
2018-01-03,17.0,15098.14,-0.24961793209568156,left_projected,-3.9200000000000017,-0.12765461047373153
2018-01-04,18.0,15144.99,-0.24651970532642026,left_projected,-2.6799999999999997,-0.1260701773039313
2018-01-05,19.0,16960.01,-0.13333126953525615,left_projected,-1.4400000000000013,-0.06818561124032999
2018-01-06,20.0,17098.99,-0.12517009208471794,left_projected,-0.1999999999999993,-0.06401198509212475
2018-01-07,21.0,16174.22,-0.18077087286294966,left_projected,1.0399999999999991,-0.09244622438211245
2018-01-08,22.0,14993.74,-0.2565567088603957,left_projected,2.280000000000001,-0.13120310091120635
2018-01-09,23.0,14480.99,-0.2913527347352978,left_projected,3.5199999999999996,-0.1489977885436313
2018-01-10,24.0,14875.18,-0.2644954373226657,left_projected,4.759999999999998,-0.13526296664681126
2018-01-11,25.0,13308.06,-0.37581962280913805,left_projected,6.0,-0.1921941551045932
2018-01-12,26.0,13820.0,-0.3380726711819569,left_projected,7.240000000000002,-0.17289036404245273
2018-01-13,27.0,14187.95,-0.3117964767211924,left_projected,8.479999999999997,-0.15945271819521778
2018-01-14,28.0,13656.23,-0.3499936617575821,left_projected,9.719999999999999,-0.17898675862282748
2018-01-15,29.0,13590.0,-0.35485526135842843,left_projected,10.96,-0.1814729806587003
2018-01-16,30.0,11570.01,-0.5157730840120339,left_projected,12.200000000000003,-0.26376635516375413
2018-01-17,31.0,11200.01,-0.5482748183636876,left_projected,13.439999999999998,-0.28038774211118983
2018-01-18,32.0,11305.53,-0.538897502979811,left_projected,14.68,-0.27559218302387534
2018-01-19,33.0,11498.99,-0.5219302840961695,left_projected,15.920000000000002,-0.26691514728678106
2018-01-20,34.0,12762.8,-0.4176547999406597,left_projected,17.159999999999997,-0.21358866468965335
2018-01-21,35.0,11518.17,-0.5202637010390618,left_projected,18.4,-0.2660628567113762
2018-01-22,36.0,10766.7,-0.5877314519905398,left_projected,19.64,-0.300565864547962
2018-01-23,37.0,10824.94,-0.5823367583734613,left_projected,20.880000000000003,-0.2978070182321881
2018-01-24,38.0,11356.79,-0.5343736865815548,left_projected,22.119999999999997,-0.2732787033178071
2018-01-25,39.0,11118.0,-0.555624072990203,left_projected,23.36,-0.2841461509271898
2018-01-26,40.0,11086.89,-0.5584261603102043,left_projected,24.6,-0.2855791383826385
2018-01-27,41.0,11319.0,-0.5377067598711976,left_projected,25.839999999999996,-0.27498323699813043
2018-01-28,42.0,11536.0,-0.5187169089788876,left_projected,27.08,-0.2652718272518031
2018-01-29,43.0,11123.01,-0.5551735538739634,left_projected,28.32,-0.28391575545114484
2018-01-30,44.0,9995.0,-0.6621045215691173,left_projected,29.560000000000002,-0.33860025233044655
2018-01-31,45.0,10099.99,-0.651655055773767,left_projected,30.799999999999997,-0.3332563955227044
2018-02-01,46.0,9014.23,-0.7653850497143372,left_projected,32.04,-0.391417914423912
2018-02-02,47.0,8787.52,-0.7908569564271166,left_projected,33.28,-0.4044442475168274
2018-02-03,48.0,9240.0,-0.740647603867888,left_projected,34.519999999999996,-0.3787671846180379
2018-02-04,49.0,8167.91,-0.8639764273290282,left_projected,35.76,-0.44183754493606503
2018-02-05,50.0,6905.19,-1.0319161867462499,left_projected,37.0,-0.5277219379020321
2018-02-06,51.0,7688.46,-0.9244689861366785,left_projected,38.24,-0.4727734395102974
2018-02-07,52.0,7575.75,-0.9392371331262145,left_projected,39.480000000000004,-0.48032586988074605
2018-02-08,53.0,8218.1,-0.8578504507234916,left_projected,40.72,-0.4387047204999936
2018-02-09,54.0,8671.01,-0.8042042118576033,left_projected,41.959999999999994,-0.41127003394397826
2018-02-10,55.0,8547.49,-0.8185518169235747,left_projected,43.2,-0.41860739917471607
2018-02-11,56.0,8072.99,-0.8756655678062604,left_projected,44.44,-0.44781537137612154
2018-02-12,57.0,8872.28,-0.7812576800074884,left_projected,45.67999999999999,-0.39953517755582957
2018-02-13,58.0,8520.01,-0.821771974972025,left_projected,46.92,-0.4202541880006936
2018-02-14,59.0,9472.98,-0.7157459538939033,left_projected,48.16,-0.3660324808213421
2018-02-15,60.0,10031.23,-0.6584862629626493,left_projected,49.400000000000006,-0.33674987487909885
2018-02-16,61.0,10167.49,-0.6449941142486623,left_projected,50.64,-0.32984999002676585
2018-02-17,62.0,11121.5,-0.5553093177098329,left_projected,51.879999999999995,-0.28398518507680853
