rel_day,dd_pct_ahr_2025,dd_pct_ahr_2021,dd_pct_ahr_2017,dd_pct_ahr_2021_timewarp_scaled,dd_pct_ahr_2017_timewarp_scaled
-297,-30.646621131677954,35.57009679131681,-96.14912721817925,8.877728724042463,-10.376066629072636
-296,-31.23249053212251,36.69877724729583,-96.10763820665872,9.15942936048145,-10.362116026292242
-295,-31.6850928126771,33.748901997676064,-96.02564109488286,8.423187556318458,-10.348958042005487
-294,-32.0621754547368,24.46907387261407,-95.97145436142944,6.107090493570205,-10.345814216022616
-293,-31.37398957993069,19.73535011080715,-95.888798616262,4.925628557764213,-10.348908638960104
-292,-29.838356405591977,14.925387114766522,-95.80519778789777,3.7251385253065186,-10.354465401434432
-291,-28.226690825562134,10.735569157345205,-95.72777487814031,2.6794268015704095,-10.354799489561675
-290,-27.699575267876753,5.783544032525045,-95.6615719142636,1.443480328027839,-10.35449204677829
-289,-26.954688809208413,1.6606419388508074,-95.6438291439707,0.41446973640185036,-10.348187206427813
-288,-26.384861507039847,-3.682372649970759,-95.73630989691279,-0.9190614700619583,-10.330529101853777
-287,-26.244532970228857,-1.3754882522248149,-95.8187549550184,-0.34329992515904945,-10.31198324320838
-286,-26.961251906201344,-1.0035496436623446,-95.99169421144472,-0.2504699818449371,-10.295315249407116
-285,-28.082272435920864,0.15253212304029098,-96.08754986915751,0.03806958462886545,-10.273523000459306
-284,-27.167470516892468,0.10864316724467862,-96.15476477225168,0.027115601404674353,-10.239604376374263
-283,-25.532742050326913,0.35225968876970704,-96.217585023002,0.08791839886352232,-10.19271988008593
-282,-23.47721999748552,2.126768646581328,-96.22407852395925,0.5308075267244443,-10.14268969038981
-281,-21.30218787694726,7.422378288354552,-96.15348099902018,1.8525072146365376,-10.097424762769178
-280,-17.760039843552235,8.884664058542178,-96.18251746283467,2.217470415634132,-10.064836052707314
-279,-11.065358112453156,11.45711873539098,-96.21447980747007,2.8595140656680833,-10.051196844686197
-278,-5.132687756398509,15.066962545856892,-96.39218845656555,3.7604734944122673,-10.050514945390423
-277,-0.16530388560337222,19.29057831027871,-96.56518718398443,4.814620611613239,-10.052656448817391
-276,3.4831822396524363,30.520873901339737,-96.73273810211309,7.617523238872551,-10.047487448964503
-275,8.290307079587238,40.227300773162256,-96.85522989355259,10.040092543458533,-10.04711196301157
-274,12.807712711683592,46.365340603747754,-97.04194651345242,11.572049367557137,-10.058819568018333
-273,15.818155286790121,56.143341308192966,-97.17184558153379,14.012482358977937,-10.077651856595283
-272,16.161819308910886,64.29947132313119,-97.30479282121745,16.048122299331368,-10.098650421352916
-271,17.45726068153441,70.92949216566127,-97.31800660006976,17.702869735641354,-10.096733629493938
-270,18.522742598378176,79.5544547835615,-97.37676077487158,19.85552281460113,-10.081606914163125
-269,22.41274791188906,79.88136560800402,-97.39737406285933,19.937114541308553,-10.054170105177388
-268,25.095094828788273,81.27331266673943,-97.46781035224843,20.2845223220121,-10.01532303235363
-267,27.466977665205377,87.6238021589631,-97.48554677261211,21.869503192533845,-9.989117531339344
-266,30.192443510999606,90.18115914781278,-97.50569271173548,22.507778700490398,-9.957082445800804
-265,30.766647086815333,98.02776191163093,-97.42161480982337,24.46616557672472,-9.914114388208313
-264,30.254457446916998,106.40715545323003,-97.35692959085065,26.557528531701834,-9.855109971032174
-263,30.46748735695301,114.74755851141605,-97.27474433720542,28.639160084018126,-9.820879216434557
-262,28.93870858833474,119.90233572216331,-97.21206072058922,29.925710243787776,-9.788041287734526
-261,27.904539465937976,117.8698038887876,-97.15977539079485,29.41842272231847,-9.758119580567458
-260,26.975930493422247,113.47218884059619,-97.11147500497817,28.320848159627356,-9.732637490568736
-259,26.267871694933444,107.14306145234208,-97.01146957579964,26.74119892947559,-9.70076546690069
-258,26.91587004957797,95.19595007238479,-96.9497312885968,23.759390516374136,-9.666125371357019
-257,28.02629480092867,83.0244642871152,-96.89203059537707,20.721581831058998,-9.645063730929737
-256,28.696850660085925,68.27327963387671,-96.8431456204171,17.03992146116992,-9.653927072610852
-255,28.851933721155028,61.776543557225146,-96.82707648507883,15.418439776186366,-9.67777318607044
-254,29.40711176014837,59.96362205290678,-96.7889172367259,14.965963489496856,-9.704364617836704
-253,30.35624485160161,59.31026954917487,-96.74773151563487,14.80289712722815,-9.736017806828322
-252,31.502048293411484,59.26315478058569,-96.77130002327297,14.791138032590743,-9.775049191963964
-251,31.737344828735765,60.35910485052761,-96.79208264737841,15.064669686809207,-9.812010992121756
-250,31.631633780848126,61.604363408726044,-96.81182129395178,15.37546635783982,-9.848366979845915
-249,32.186719408100934,65.90842795380225,-96.83181624237203,16.44969220732594,-9.887772658581707
-248,32.94476213132247,67.04071282725229,-96.84389885384667,16.73229244886591,-9.933883531774388
-247,33.15010668980345,71.83860683635388,-96.85555631742305,17.929770254715184,-9.948804558887401
-246,33.31903091717552,75.70334957603744,-96.86496276975458,18.894348389894702,-9.958969837719325
-245,34.10549864191769,83.35091157515593,-96.83697651456998,20.803057866475143,-9.960709365660978
-244,37.01500024981412,90.06013347059509,-96.81204183048591,22.47757262212953,-9.950353140103186
-243,40.24304244762687,100.76667156606929,-96.78434683513387,25.149753733777484,-9.936089238951572
-242,39.41805572406336,107.13344447376868,-96.7814406687116,26.738798685039356,-9.92262072941197
-241,38.074694244318906,108.90040279268999,-96.75596408174484,27.179803293885485,-9.917466483393868
-240,36.299352049425536,109.07447032487428,-96.73274642337469,27.223247773091202,-9.928145372806757
-239,34.37155801105121,110.13739316663973,-96.69678343289682,27.48853635802655,-9.930786811292732
-238,30.577469383929163,108.22522164858398,-96.64717920850104,27.011288851202693,-9.941798284886245
-237,25.97616219692902,107.29741373462572,-96.59283382962167,26.779722796815346,-9.958446612886792
-236,22.770263612701267,102.25904110243084,-96.54264372485045,25.522225362898187,-9.97799861459387
-235,22.142101529660618,98.59578703338869,-96.45547463527232,24.60793558564518,-9.994574301918096
-234,21.190444188017036,95.64986642628597,-96.34065944533526,23.87268079716766,-10.013485230289225
-233,19.612167678668573,91.9362023975067,-96.211231237165,22.94580949813355,-10.035601854320648
-232,18.57922426009248,84.47678108705718,-96.06363431945454,21.084056936114145,-10.061794628625757
-231,17.73608211132126,77.2527430193658,-95.90148767141055,19.281052276515474,-10.0806830186502
-230,16.739610341717814,72.53552573077279,-95.72670307611573,18.10371009310272,-10.095451256323306
-229,14.59029306116928,68.59749611296358,-95.53650602955737,17.120840722258354,-10.103560865135176
-228,12.556705814298391,65.42447024334322,-95.35316320271504,16.328904083172937,-10.102473368575907
-227,12.650626082196306,66.61870026104529,-95.11260078800115,16.626964844532896,-10.104068398343939
-226,13.699284737932658,68.66135841366595,-94.87013836187137,17.136779733744746,-10.106156948482994
-225,14.434940636148914,72.38901904276769,-94.63795867761364,18.067144360937363,-10.107729711428455
-224,15.752175344893525,77.08730307604422,-94.38662687149017,19.23976110585753,-10.107777379615701
-223,18.750717408838934,79.07629410046165,-94.27042955935065,19.736181535999393,-10.110798432507814
-222,19.599179923243373,78.78827180406685,-94.10151003439465,19.664295765520045,-10.108448340728483
-221,19.47148832143907,79.50285127618056,-93.9421878538348,19.8426434023683,-10.106108357951582
-220,17.65808752137463,78.9878096900767,-93.96474887468432,19.71409723872258,-10.109159737850973
-219,16.14095510902053,76.61727864191047,-94.03203239585058,19.12245050520351,-10.126544744962406
-218,14.538246798771885,72.60916722844095,-94.03607766963806,18.122089836148284,-10.14826163986654
-217,12.884841769977523,70.27206811818682,-94.02847107091794,17.538787181006168,-10.17064392021684
-216,9.850869006426006,67.63823917341973,-93.81465961895249,16.88142549277817,-10.190025083666777
-215,9.360472410517762,67.84004167709192,-93.59009888264623,16.931792178422715,-10.21199036129105
-214,10.846121649937288,67.32243544329246,-93.39964506369647,16.80260591962494,-10.234914549053412
-213,12.994445443895525,66.22896912488176,-92.9889446833761,16.529694170166408,-10.264095038072231
-212,15.839597402776812,68.92541067367424,-92.42124829308418,17.202682965526115,-10.304829219465866
-211,18.813486924129908,72.88184724017964,-91.79641791606079,18.1901464171266,-10.34488227036165
-210,20.634776209890678,75.16332537945527,-91.40182067110769,18.759566965210873,-10.366892797494826
-209,22.76007145550344,76.09046566351614,-91.23667163948728,18.99096638982625,-10.376834785351981
-208,25.631307090758177,75.0817520560543,-91.30686108775703,18.739207564995542,-10.380682218419706
-207,26.265321527439504,70.50630136293749,-91.24427275280176,17.597248062269674,-10.392371537536977
-206,27.155330876815942,65.85548395950687,-91.23972621744444,16.436478230943496,-10.376373703746177
-205,26.899368537381605,58.83828547947511,-91.45464009003953,14.685097432798111,-10.347971970086942
-204,26.497758242379234,50.51154455649881,-91.70889918116654,12.606875731483761,-10.322449589598907
-203,26.55738159190808,40.77850624114645,-91.68568989226664,10.177664635114104,-10.273325675256503
-202,26.087341043383113,32.175605845335724,-91.4225539816257,8.030517934838347,-10.22595029955882
-201,23.93366073192889,23.65734098482698,-90.9521779562584,5.904494914018209,-10.18465732879884
-200,23.462817202263665,17.981685797588717,-90.634871180899,4.4879419206677404,-10.153780629269537
-199,23.242457451915726,15.708971653331417,-90.21168396466946,3.920708725931649,-10.141039190693292
-198,21.954655305381372,13.553148035920854,-89.49723468411896,3.3826495419901828,-10.12791725756055
-197,20.152113624004446,13.075764455353323,-89.08275490166535,3.263502215783716,-10.124422051619755
-196,18.113073580257787,13.16633054886745,-88.69357246578558,3.2861060679613394,-10.140560794619336
-195,17.476228103110493,16.22333185886692,-88.3850250427653,4.049084827857287,-10.13549536688001
-194,15.992333497953988,19.975800300772203,-87.99910572571912,4.9856410893768714,-10.140993894127877
-193,13.335038538031844,23.495198528404615,-87.56291101265938,5.864026743486859,-10.149114461907198
-192,10.344476222842207,24.36381836667129,-87.6702319284553,6.080820398384521,-10.15191515576223
-191,8.14050940648038,22.214182423111257,-87.9589702877254,5.544305559126741,-10.149097700288273
-190,6.503128629859987,22.69069428327555,-88.29757077892457,5.663235317826755,-10.144678435950016
-189,5.831022454747286,23.33115802447577,-88.77017853210013,5.8230848505766595,-10.139029409215523
