rel_day,dd_pct_ahr_2025,dd_pct_ahr_2021,dd_pct_ahr_2017,dd_pct_ahr_2021_scaled,dd_pct_ahr_2017_scaled
-260,28.089209277395888,146.39186400779468,-97.08776856376761,67.76626507079312,-30.70184816048002
-259,26.87792971927201,116.76396153489365,-96.87464400275503,54.0512112590368,-30.634452256667693
-258,31.317912561905324,74.45403845115742,-96.95189983375646,34.46552265365997,-30.658882695517047
-257,28.19976807152198,79.21829760015807,-97.01158585403732,36.670946093995006,-30.6777570723729
-256,29.993558418673373,60.11376002814206,-96.73996973078222,27.82726365347885,-30.591864512501786
-255,25.85313231554118,53.242278655379494,-96.7914236675142,24.646385868420715,-30.608135675967308
-254,25.852553242190936,50.98704973228101,-96.78692251502672,23.602417735124224,-30.606712286571693
-253,32.783100291496694,43.13357143512528,-96.74557373904774,19.966963704807082,-30.59363665551633
-252,27.963511146755682,71.28680899833273,-96.76216005538724,32.99938030965161,-30.598881709278817
-251,35.204158834858745,61.76358792092882,-96.68478509528589,28.590985565632536,-30.57441359850033
-250,34.843699711694654,74.64483007403473,-96.7232858064001,34.55384201332399,-30.586588592366034
-249,38.014182511342476,59.783956648017764,-96.90494928424896,27.674594354332847,-30.644035628133025
-248,27.500208062811172,60.91392914497293,-96.93690203625229,28.197669979268483,-30.654139975517133
-247,25.11257590697746,59.70385963967002,-96.92509304104023,27.63751664420285,-30.650405643342317
-246,36.668699682266315,73.26202325065871,-96.88553837798946,33.913726837731915,-30.637897360610225
-245,33.269810209306485,79.21280311248313,-96.84673833570976,36.6684026404313,-30.625627709918756
-244,36.641570744225604,95.34884598463984,-96.76638734032052,44.13793905134845,-30.600218494149587
-243,36.02616930329909,101.6980292518197,-96.78913097272077,47.077039794295786,-30.607410662214626
-242,43.51945658453773,113.31689064184714,-96.70904549795684,52.455527499975105,-30.58208541143963
-241,47.86671931808615,107.87848241304702,-96.76235924766378,49.93803367547932,-30.598944699407436
-240,47.708871291666746,134.64962630798954,-96.73122807357595,62.33066523139982,-30.58910015777216
-239,30.89379261732168,117.8294336045544,-96.86519521303354,54.54442898795589,-30.6314642870025
-238,23.86627985109535,91.58151134493231,-96.6684022269424,42.39400198534314,-30.569232880643117
-237,24.214175379972012,96.56731870992981,-96.60386373172949,44.701982321397495,-30.54882401647985
-236,22.53161103467878,109.13848914417783,-96.53739003937584,50.52130345424412,-30.527803189247965
-235,16.96083619468345,99.93169001545705,-96.36181592718634,46.259383610275066,-30.47228177997989
-234,15.657569009085147,101.38382701533915,-96.3819415955082,46.93159242133219,-30.478646075112906
-233,25.267581202072442,99.38101788262534,-96.37989734017735,46.004471945794954,-30.477999624816466
-232,26.496658036037157,92.18665512125929,-96.25501158598664,42.67412912103104,-30.438507281761407
-231,17.20467845959024,70.96006709521335,-95.86469589738296,32.848128198978685,-30.315078623512942
-230,13.166239814532776,70.57167050847501,-95.6978662745378,32.66833551563598,-30.26232246457519
-229,15.30100710464617,56.92253997103107,-95.5042116154024,26.350015817643516,-30.201083484338046
-228,11.058841153284881,49.36342354161734,-95.22678939087851,22.85082485420744,-30.113354874033433
